Datetime,Open,High,Low,Close,Volume,"('Datetime', '')","('Close', 'ETH-USD')","('High', 'ETH-USD')","('Low', 'ETH-USD')","('Open', 'ETH-USD')","('Volume', 'ETH-USD')","('Datetime', '').1","('Close', 'ETH-USD').1","('High', 'ETH-USD').1","('Low', 'ETH-USD').1","('Open', 'ETH-USD').1","('Volume', 'ETH-USD').1","('Datetime', '').2","('Close', 'ETH-USD').2","('High', 'ETH-USD').2","('Low', 'ETH-USD').2","('Open', 'ETH-USD').2","('Volume', 'ETH-USD').2","('Datetime', '').3","('Close', 'ETH-USD').3","('High', 'ETH-USD').3","('Low', 'ETH-USD').3","('Open', 'ETH-USD').3","('Volume', 'ETH-USD').3","('Datetime', '').4","('Close', 'ETH-USD').4","('High', 'ETH-USD').4","('Low', 'ETH-USD').4","('Open', 'ETH-USD').4","('Volume', 'ETH-USD').4","('Datetime', '').5","('Close', 'ETH-USD').5","('High', 'ETH-USD').5","('Low', 'ETH-USD').5","('Open', 'ETH-USD').5","('Volume', 'ETH-USD').5","('Datetime', '').6","('Close', 'ETH-USD').6","('High', 'ETH-USD').6","('Low', 'ETH-USD').6","('Open', 'ETH-USD').6","('Volume', 'ETH-USD').6","('Datetime', '').7","('Close', 'ETH-USD').7","('High', 'ETH-USD').7","('Low', 'ETH-USD').7","('Open', 'ETH-USD').7","('Volume', 'ETH-USD').7","('Datetime', '').8","('Close', 'ETH-USD').8","('High', 'ETH-USD').8","('Low', 'ETH-USD').8","('Open', 'ETH-USD').8","('Volume', 'ETH-USD').8","('Datetime', '').9","('Close', 'ETH-USD').9","('High', 'ETH-USD').9","('Low', 'ETH-USD').9","('Open', 'ETH-USD').9","('Volume', 'ETH-USD').9","('Datetime', '').10","('Close', 'ETH-USD').10","('High', 'ETH-USD').10","('Low', 'ETH-USD').10","('Open', 'ETH-USD').10","('Volume', 'ETH-USD').10","('Datetime', '').11","('Close', 'ETH-USD').11","('High', 'ETH-USD').11","('Low', 'ETH-USD').11","('Open', 'ETH-USD').11","('Volume', 'ETH-USD').11","('Datetime', '').12","('Close', 'ETH-USD').12","('High', 'ETH-USD').12","('Low', 'ETH-USD').12","('Open', 'ETH-USD').12","('Volume', 'ETH-USD').12","('Datetime', '').13","('Close', 'ETH-USD').13","('High', 'ETH-USD').13","('Low', 'ETH-USD').13","('Open', 'ETH-USD').13","('Volume', 'ETH-USD').13","('Datetime', '').14","('Close', 'ETH-USD').14","('High', 'ETH-USD').14","('Low', 'ETH-USD').14","('Open', 'ETH-USD').14","('Volume', 'ETH-USD').14","('Datetime', '').15","('Close', 'ETH-USD').15","('High', 'ETH-USD').15","('Low', 'ETH-USD').15","('Open', 'ETH-USD').15","('Volume', 'ETH-USD').15","('Datetime', '').16","('Close', 'ETH-USD').16","('High', 'ETH-USD').16","('Low', 'ETH-USD').16","('Open', 'ETH-USD').16","('Volume', 'ETH-USD').16","('Datetime', '')","('Close', 'ETH-USD')","('High', 'ETH-USD')","('Low', 'ETH-USD')","('Open', 'ETH-USD')","('Volume', 'ETH-USD')"
2022-06-01 00:00:00,1940.59,1956.77,1928.7,1953.01,26183628.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 01:00:00,1953.01,1953.59,1940.47,1946.46,15931403.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:00:00,1946.46,1946.51,1929.61,1939.3,21425034.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 03:00:00,1939.3,1939.66,1925.98,1928.37,18049052.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 04:00:00,1928.37,1934.57,1913.02,1932.6,24933185.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 05:00:00,1932.6,1935.72,1920.62,1931.84,11682386.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 06:00:00,1931.84,1938.3,1929.65,1935.31,19762267.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 07:00:00,1935.31,1943.31,1928.22,1928.6,19750367.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 08:00:00,1928.6,1937.55,1922.74,1933.94,15945940.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 09:00:00,1933.94,1942.42,1931.34,1942.37,12946222.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
